id,code,name,ehr_code,created_by,last_modified_by
001a00e5d61545cd9de7ca8087cc6a65,ZWL0000045,SILVEIRA,ILB0066,system,system
001a00e5d61545cd9de7ca8087cc6a66,ZWL0000026,GUTU,ILB0067,system,system
001a00e5d61545cd9de7ca8087cc6a67,ZWL0000017,GOKWE NORTH,ILB0068,system,system
001a00e5d61545cd9de7ca8087cc6a68,ZWL0000019,KWEKWE,ILB0069,system,system
001a00e5d61545cd9de7ca8087cc6a69,ZWL0000018,GOKWE SOUTH,ILB0070,system,system
001a00e5d61545cd9de7ca8087cc6a70,ZWL0000022,SILOBELA,ILB0071,system,system
001a00e5d61545cd9de7ca8087cc6a71,ZWL0000031,GWERU DISTRICT,ILB0072,system,system
001a00e5d61545cd9de7ca8087cc6a72,ZW07030A,GWERU PROVINCIAL,ILB0073,system,system
001a00e5d61545cd9de7ca8087cc6a73,ZW06030B,MANAMA,ILB0074,system,system
001a00e5d61545cd9de7ca8087cc6a74,ZW07030F,THORNHILL AIRBASE,ILB0075,system,system
001a00e5d61545cd9de7ca8087cc6a75,ZW070314,WHAWHA PRISON,ILB0076,system,system
001a00e5d61545cd9de7ca8087cc6a76,ZWL0000021,SHURUGWI,ILB0077,system,system
001a00e5d61545cd9de7ca8087cc6a77,ZWL0000023,ZVISHAVANE,ILB0078,system,system
001a00e5d61545cd9de7ca8087cc6a78,ZWL0000020,MUNENE,ILB0079,system,system
001a00e5d61545cd9de7ca8087cc6a79,ZW07050C,MASASE,ILB0080,system,system
001a00e5d61545cd9de7ca8087cc6a80,ZW07050E,MUSUME,ILB0081,system,system
001a00e5d61545cd9de7ca8087cc6a81,ZW01040F,ST THERESA,ILB0082,system,system
001a00e5d61545cd9de7ca8087cc6a82,ZW07010E,MUVONDE,ILB0083,system,system
001a00e5d61545cd9de7ca8087cc6a83,ZW07010E,MVUMA,ILB0084,system,system
001a00e5d61545cd9de7ca8087cc6a84,ZWL000009,PLUMTREE,ILB0085,system,system
001a00e5d61545cd9de7ca8087cc6a85,ZW04050A,CHINHOYI,ILB0086,system,system
001a00e5d61545cd9de7ca8087cc6a86,ZW04050D,MAKONDE CHRISTIAN,ILB0087,system,system
001a00e5d61545cd9de7ca8087cc6a87,ZW04030A,KADOMA,ILB0088,system,system
